leiden_res0pt75_dist0pt3_npc50,names,scores,logfoldchanges,pvals,pvals_adj
0,ACTG2,294.36053,3.6338856,0.0,0.0
0,DES,292.07,7.702817,0.0,0.0
0,CNN1,291.8728,7.13441,0.0,0.0
0,MYLK,288.20126,5.641055,0.0,0.0
0,MYH11,286.71164,7.071531,0.0,0.0
0,CSRP1,280.88504,4.998049,0.0,0.0
0,FLNA,277.8733,4.3193755,0.0,0.0
0,TAGLN,260.79373,5.3462486,0.0,0.0
0,PLN,243.99173,5.814021,0.0,0.0
0,RGS5,191.59012,4.4621615,0.0,0.0
0,ENAH,159.63614,3.3978722,0.0,0.0
0,LPP,148.09027,3.3492193,0.0,0.0
0,PDLIM7,138.65723,3.2625945,0.0,0.0
0,COL4A2,113.73185,2.716888,0.0,0.0
0,RAMP1,95.10103,2.6929934,0.0,0.0
0,ACTA2,93.12946,2.3761823,0.0,0.0
0,NACC2,91.28092,2.4901025,0.0,0.0
0,LNPEP,76.88369,1.806905,0.0,0.0
0,ITPKB,74.23833,1.8026073,0.0,0.0
0,NR4A1,69.56936,2.321675,0.0,0.0
0,HSPA1A,67.94477,1.6386333,0.0,0.0
0,COL4A1,62.463913,1.8380935,0.0,0.0
0,SETD3,60.460217,1.4651684,0.0,0.0
0,PEG10,59.54183,2.542503,0.0,0.0
0,AQP1,58.656548,1.3358064,0.0,0.0
0,HOXA3,58.046722,2.260507,0.0,0.0
0,NCKAP1,55.199455,1.4945786,0.0,0.0
0,S100B,52.949528,1.6857991,0.0,0.0
0,JAM2,47.31973,1.1541868,0.0,0.0
0,HOXA5,45.80007,2.1215086,0.0,0.0
0,HSPA1B,45.18263,1.1659992,0.0,0.0
0,NKX2-3,41.2971,1.5767745,0.0,0.0
0,TLE1,39.711567,0.9887936,0.0,0.0
0,SORBS2,38.521458,1.1931428,0.0,0.0
0,DLC1,37.884167,0.9478227,0.0,0.0
0,REV3L,32.57275,1.008835,9.975592381799623e-233,2.8527761140634288e-232
0,CRYZL1,30.543262,0.7838162,6.948343485969552e-205,1.883683869895792e-204
0,STAT5B,30.247948,0.77164346,5.5516980165180325e-201,1.4878550684268325e-200
0,JAZF1,26.368944,1.0540305,3.112744514465974e-153,7.806829825051025e-153
0,NFIX,26.054129,0.7762601,1.2079527942087773e-149,3.013456704701684e-149
0,SELENOM,24.964464,0.6555377,1.4874396425987686e-137,3.6145554009265414e-137
0,CAMTA1,24.166372,0.77035564,5.024174478253812e-129,1.1900696112631503e-128
0,RIMS1,23.681097,2.6971529,5.6470627010143275e-124,1.3176479635700099e-123
0,TPD52L2,22.531507,0.6913662,2.0389495301024556e-112,4.553653950562151e-112
0,BECN1,21.427813,0.5483407,7.355494257502382e-102,1.6120218723217837e-101
0,HOXA7,20.231586,1.6199708,5.161577867043045e-91,1.0904414502897245e-90
0,TET2,19.993341,0.5033614,6.29374300349114e-89,1.3060909153262588e-88
0,FOXP1,19.222067,0.8703939,2.4193577872487217e-82,4.849054710340387e-82
0,SYT11,18.921263,0.58379287,7.620787661890338e-80,1.4954600056178112e-79
0,TEF,18.62884,1.0378544,1.8754775850417344e-77,3.634706559440386e-77
0,HOXA4,17.554232,1.3583999,5.520991893953845e-69,1.0398976699856842e-68
0,NET1,16.000034,0.77310574,1.277065671975225e-57,2.268726515743866e-57
0,STAT5A,15.701659,0.3625855,1.473382588361605e-55,2.5978061426375667e-55
0,KCNN3,15.556853,0.4184268,1.4295684098841107e-54,2.5017447172971936e-54
0,F3,14.231471,0.2288861,5.8439277917168314e-46,9.930442515634761e-46
0,ATP6V0A1,13.961037,0.33570585,2.6948616707922314e-44,4.546367351084736e-44
0,HOXA2,13.220938,1.5874051,6.643053082506877e-40,1.1087515643045285e-39
0,COX8A,12.848602,0.29514676,8.757809119697858e-38,1.4513825007555814e-37
0,DOCK3,12.165233,2.345362,4.7608816247137475e-34,7.673036020586761e-34
0,RSL1D1,12.050449,0.46038732,1.9289487126224575e-33,3.0982087199312755e-33
0,MT1E,11.298823,0.4789328,1.329872174908996e-29,2.1071285474064832e-29
0,ICMT,10.343191,0.2309328,4.4931936552811495e-25,6.931933632654142e-25
0,POLR2E,7.774355,0.15019889,7.583287147490595e-15,1.064838824003919e-14
0,ZMIZ1,7.2142386,0.14453979,5.42365730330629e-13,7.481456691913677e-13
0,WSB1,6.629295,0.63060224,3.372944048146311e-11,4.598577786571569e-11
0,TNFSF15,6.5765676,0.42255723,4.814324715313348e-11,6.54469069994771e-11
0,SNN,5.9389043,0.05980081,2.869329338389636e-09,3.780099605912189e-09
0,ARIH2,5.1493993,0.041342836,2.6132214956437363e-07,3.3395119385746933e-07
0,CREM,5.0978994,0.015558294,3.4344318634424443e-07,4.3770340868328976e-07
0,MTOR,4.948712,0.018140277,7.470632654764441e-07,9.444007318287125e-07
0,EGR2,4.7393627,0.90336674,2.1439157012396125e-06,2.6813239036836755e-06
0,SPRY2,4.70703,0.09082262,2.513521619876761e-06,3.1352171269207474e-06
0,PRDX6,4.6279397,0.31901774,3.6932148915533742e-06,4.594476881004065e-06
0,TFDP1,4.3471375,0.03793406,1.3792592878105845e-05,1.6978283621605357e-05
0,CD81,4.1479096,0.06889287,3.3552472454225434e-05,4.0979452033936793e-05
0,SLC2A4RG,3.6889987,0.12466974,0.00022513838752465763,0.00027074334294631907
0,TUBA1B,2.9293435,0.8786138,0.0033967891182975943,0.0039827352412039295
0,KAT2A,2.62362,-0.0020076695,0.008700076344776833,0.010025395100000823
0,HSPB1,2.090269,1.438913,0.03659362864212402,0.040573077619754525
0,KCNA2,1.7611476,0.0039037399,0.07821341306031433,0.08610819419081554
0,PPARA,1.7381083,-0.12248716,0.08219174222930568,0.09027617589120461
0,ZNF513,1.633404,-0.041352622,0.10238404195428037,0.11167003645711045
0,ADO,1.4348623,-0.109243095,0.15132635659120336,0.16353009502597782
0,KCNA5,1.2905636,0.0007353402,0.19685505594566832,0.21030756546359552
0,ERCC4,0.81753796,-0.16480806,0.4136210553272325,0.4349512891221346
0,CCDC71,0.8029103,-0.16464718,0.4220265639759525,0.44279744631928797
0,LRP3,0.7925751,0.33541647,0.4280254162744852,0.44764735322330984
0,PAF1,0.7916618,-0.08678846,0.4285579138534459,0.44764735322330984
0,HOXA6,0.32706928,1.2562355,0.743615494814054,0.7532519807079726
0,ZNF300,0.15392408,-0.1839684,0.8776696003252847,0.8833198338037738
0,ZBTB12,0.065701105,-0.24548502,0.9476157927893014,0.9496406128593641
0,IL13,0.039564703,-0.13533048,0.9684401692891479,0.9684401692891479
0,IL4,-0.10102291,-0.68002784,0.9195322750942209,0.9234703148162517
0,CMC1,-0.16742963,-0.2803732,0.8670320140640613,0.8744903539699886
0,RETN,-0.23016548,-2.9727027,0.817963178794114,0.8267774371862919
0,BEST4,-0.37317222,-0.86367244,0.7090202611934273,0.7197629924236308
0,CUL9,-0.41819867,-0.22156456,0.6758018600510207,0.6875294411365048
0,CSF2,-0.4795788,-3.626799,0.6315269187838111,0.643882880238277
0,BEST2,-0.48354396,-1.7266754,0.6287095590430889,0.6424069350570996
0,HOXA11,-0.48897797,-1.482367,0.6248572935240715,0.6398647831065274
0,HBG2,-0.5154431,-1.1173307,0.606243411217219,0.6221622754067302
0,TMEM50B,-0.5257405,-0.04585477,0.5990685199343185,0.6161472277394636
0,IL22,-0.5763287,-1.0424104,0.5643930395815087,0.5817589792609397
0,ZGLP1,-0.6248437,-0.80029434,0.5320736352074384,0.5496531605997547
0,CD7,-0.64580375,-2.8348954,0.5184064572101607,0.5367166190542281
0,HAS1,-0.6880004,-1.9258952,0.49145254513347914,0.509936379795579
0,CSF3,-0.7369163,-3.1742067,0.46117325433918843,0.47957928222855734
0,TBX21,-0.7689374,-3.4527051,0.441930460177412,0.4605897462737916
0,BSN,-0.8244634,-0.8175046,0.40967629834077546,0.4317711998243229
0,IFNG,-0.8623499,-1.5002375,0.3884949944355863,0.41036971259074323
0,IRGM,-0.94161206,-2.5636144,0.3463912893805282,0.3667212521884147
0,SOCS3,-1.1342,-1.3867986,0.2567106676556783,0.2723920885305727
0,TMEM217,-1.2265826,-1.7096071,0.21997948576849713,0.233946437245862
0,LGR5,-1.2782805,-2.3192687,0.20115052464519745,0.2144081728604491
0,TMEM88,-1.3424987,-1.2559205,0.17943436702057913,0.19213405966358815
0,GPIHBP1,-1.3586706,-1.4525081,0.17425101025315104,0.18701080963095615
0,IL21,-1.4133052,-1.8700597,0.15756599963335227,0.16949186657807847
0,NPY,-1.433079,-1.4708147,0.1518352553852786,0.16370283856481763
0,PRND,-1.5744705,-1.5738854,0.11537870613244058,0.12497139301643104
0,UQCRC1,-1.58084,0.16696797,0.11391462129203003,0.12367119765269001
0,HHIP,-1.629913,-0.73736316,0.10311990110542685,0.11221167892910718
0,MMP11,-1.6484329,-0.60196114,0.09926386953500833,0.10851924198582497
0,KIT,-1.6906704,-0.52669364,0.09089977010815636,0.09960745836618069
0,LINC00682,-1.819059,-1.5810155,0.06890242804046137,0.07603585588465031
0,IL23R,-1.8472155,-2.4543982,0.06471590254510391,0.07158433559823994
0,FOSL1,-2.1059463,-1.659005,0.035209027217284604,0.03913041176518123
0,STIP1,-2.1511192,-0.08541998,0.031466782539248964,0.035054444206431744
0,TMEM91,-2.2566829,-0.7001645,0.024027904799527374,0.026831160359472233
0,LRRC3B,-2.2736084,-1.5073863,0.02298953513130204,0.02573291641188701
0,LTA,-2.2776992,-3.6162276,0.022744496667787037,0.02551954291194287
0,KCNS3,-2.3422654,-0.68849075,0.019167081910890154,0.02155722162160068
0,PLAGL2,-2.3561873,-0.39462918,0.018463601064241823,0.020815934853676478
