leiden_res0pt5_dist0pt5_npc50,names,scores,logfoldchanges,pvals,pvals_adj
0,XBP1,217.72047,4.6706333,0.0,0.0
0,PRDM1,200.07835,5.1380215,0.0,0.0
0,RPN1,158.41794,2.1619744,0.0,0.0
0,ATF4,143.6546,1.3789175,0.0,0.0
0,CD79A,136.13896,3.5946307,0.0,0.0
0,RPN2,126.83549,2.4211175,0.0,0.0
0,CCL11,125.61406,3.4502087,0.0,0.0
0,ADAMDEC1,94.78278,3.3407116,0.0,0.0
0,IFNAR2,89.30531,2.1135976,0.0,0.0
0,COL1A2,87.242516,1.3195158,0.0,0.0
0,MDM2,84.7819,1.7230648,0.0,0.0
0,MAN1A1,81.021515,1.6304902,0.0,0.0
0,CHI3L1,79.01239,3.3401253,0.0,0.0
0,COL1A1,77.91925,1.2237548,0.0,0.0
0,S100A9,74.322556,2.6470547,0.0,0.0
0,ZBTB38,74.16146,1.3077047,0.0,0.0
0,CXCL1,73.051346,3.4652586,0.0,0.0
0,LYZ,71.751595,1.7610818,0.0,0.0
0,CSF2RB,70.365585,2.6224825,0.0,0.0
0,RNASET2,70.30887,1.4930798,0.0,0.0
0,S100A8,68.66516,2.7073812,0.0,0.0
0,NAMPT,63.427925,1.3522626,0.0,0.0
0,LY9,63.050713,2.267785,0.0,0.0
0,SLC39A8,61.588795,1.9673952,0.0,0.0
0,IRF1,61.588726,1.3961926,0.0,0.0
0,IL10RA,58.652546,1.5896155,0.0,0.0
0,AIF1,58.041733,1.4637889,0.0,0.0
0,PDPN,57.73122,1.8834771,0.0,0.0
0,SPI1,57.29114,1.6280522,0.0,0.0
0,TAP2,49.939682,1.118855,0.0,0.0
0,KCNN3,47.44841,1.4414572,0.0,0.0
0,PIM1,47.209595,1.6637585,0.0,0.0
0,JAML,45.985214,1.6274917,0.0,0.0
0,PTPN2,44.666,1.121141,0.0,0.0
0,MMP1,42.52796,2.3600383,0.0,0.0
0,TAP1,40.31799,0.94398683,0.0,0.0
0,ADAM28,37.50739,1.2319884,6.97956227994208e-308,4.196685524734405e-307
0,ABCA7,35.822636,1.6061848,4.906788563440184e-281,2.876604795316808e-280
0,VARS,34.396725,1.0247407,2.822530274268049e-259,1.5948996369056806e-258
0,CCL2,34.256878,1.2631052,3.445251772525921e-257,1.9009683309584202e-256
0,HCK,33.929626,1.4097383,2.4370330989354604e-252,1.329033166745036e-251
0,F3,33.024273,1.2879559,3.642398407171509e-239,1.941232787458452e-238
0,PTPN1,32.970444,0.79355,2.1551275365540555e-238,1.135679567015564e-237
0,OAS2,32.803726,0.9155701,5.209989828411562e-236,2.685148603873651e-235
0,TNIP1,31.699156,0.6382443,1.5958592929068948e-220,7.962319238014187e-220
0,NACA,31.605322,0.07480898,3.1200239457019007e-219,1.5403065584570435e-218
0,PBX2,30.27853,0.52270764,2.198068133278745e-201,1.0308939545077314e-200
0,CEBPB,29.887009,0.8187395,2.9028534586314108e-196,1.3217847301923607e-195
0,TAGAP,28.011227,1.0196,1.1859490495688264e-172,5.1028449930988956e-172
0,APOE,27.956198,1.0269444,5.542380808660128e-172,2.3630696356923637e-171
0,COL4A1,27.780293,0.33361053,7.50618948862774e-170,3.171534117267036e-169
0,NOD2,27.514166,2.3508968,1.1884680903487513e-166,4.9767101283353966e-166
0,ARHGDIB,26.586826,0.69551605,9.640830031859304e-156,3.9662713025807136e-155
0,MTHFD2,26.42983,1.0485895,6.224120651627164e-154,2.5164763669078796e-153
0,PLAU,26.426682,1.5072845,6.76516485725518e-154,2.71184813508776e-153
0,SERPINA1,26.05464,0.72023654,1.1919510595688605e-149,4.658542057814963e-149
0,ATG3,25.268816,0.48888674,7.036170231882108e-141,2.661261160284442e-140
0,BMP5,24.25589,3.2420316,5.730691860420706e-130,2.116294868139615e-129
0,NADK,24.251038,0.5237634,6.4475128237709836e-130,2.362408995584837e-129
0,ICAM1,23.163465,0.85221446,1.0636788405918636e-118,3.8081326430349927e-118
0,IDO1,23.143826,1.0992305,1.6775349438364546e-118,5.960332489843161e-118
0,ARIH2,22.888828,0.77275795,6.003354027034713e-116,2.0856096582809486e-115
0,FCER1G,22.328737,0.6664685,1.9433950194637752e-110,6.604726551655874e-110
0,SNX20,21.85032,1.1258813,7.718904826358749e-106,2.585833116830181e-105
0,PELI1,21.694866,0.600442,2.293890552627786e-104,7.630033114769018e-104
0,PHTF1,21.378168,1.0121735,2.1334488990598455e-101,6.997115619993479e-101
0,NRBP1,21.210445,0.26815915,7.648600894394439e-100,2.47392677204896e-99
0,TGFB1,21.193872,0.5460086,1.0877076381525199e-99,3.494074536257067e-99
0,SP140L,20.338316,0.5303417,5.891841565209309e-92,1.7827572219891393e-91
0,SBNO2,20.099833,0.842286,7.404256203625253e-90,2.211844687579773e-89
0,XIAP,19.661118,0.5318248,4.643912871844504e-86,1.3612469605594204e-85
0,CTSH,19.353891,0.4127111,1.8901738123812824e-83,5.5061584969367795e-83
0,HHIP,18.183882,2.9359758,6.925244720891775e-74,1.9565902253603872e-73
0,OAS1,17.707748,0.6005967,3.6539760682460834e-70,9.963458000043099e-70
0,IL1R2,17.501905,1.467432,1.3855483647788504e-68,3.713269617607319e-68
0,PI4K2B,17.320185,0.80536616,3.312899700578998e-67,8.72893235714354e-67
0,MYD88,16.428495,0.42804947,1.1958870144274996e-60,3.0154355363790176e-60
0,COL4A2,16.354801,0.13646169,4.0201566444430084e-60,1.008263885691856e-59
0,PDGFRA,15.6539345,0.4113556,3.123000514211132e-55,7.708880216658004e-55
0,SQSTM1,14.780297,0.05874536,1.9629905227238057e-49,4.697155893660535e-49
0,ADM,14.584196,0.80490524,3.5407052440072684e-48,8.344677183112608e-48
0,GFI1,14.5190735,1.0478039,9.174150730030012e-48,2.1513383461920379e-47
0,TBC1D14,14.4132,0.57535595,4.2743772819712194e-47,9.92417299625991e-47
0,IGFBP7,14.368995,0.23358096,8.099831879980941e-47,1.8621672312309124e-46
0,IL5RA,13.625736,2.6188765,2.8155723460023285e-42,6.228789765448547e-42
0,SNX17,13.4337635,0.22777045,3.8342056099387134e-41,8.44245272798712e-41
0,TYROBP,13.283535,0.93924713,2.88448100357848e-40,6.32159621812293e-40
0,IKZF3,13.265227,0.46427608,3.683019807068407e-40,8.03412227681434e-40
0,APOBR,12.4296875,1.1355768,1.8033728811415997e-35,3.827067335997331e-35
0,ATG5,12.41629,0.24852705,2.132204540544154e-35,4.5045222050234606e-35
0,KCNA2,12.366991,1.4781882,3.9431940459818345e-35,8.293085235719643e-35
0,GPR183,12.21958,0.40357006,2.44345344339919e-34,5.115980647117054e-34
0,CXCL9,11.661088,0.9263605,2.014518971893423e-31,4.072454300939722e-31
0,CD163,11.598694,0.40404594,4.1841678719668874e-31,8.422209150010602e-31
0,LAMP3,11.223496,0.984578,3.126602175026705e-29,6.239899659946915e-29
0,CD14,10.882485,0.48273307,1.3970035658840047e-27,2.7414003029271893e-27
0,MMP19,10.878882,0.7977614,1.4533387185607768e-27,2.840066079187518e-27
0,ZGPAT,10.406675,0.7253457,2.311542718136833e-25,4.424953203290509e-25
0,IL6ST,10.001404,0.0009836374,1.5025160059679052e-23,2.841451640318337e-23
0,MFN1,9.929318,0.32673937,3.10369224863161e-23,5.845910299631427e-23
0,IL10RB,9.683358,0.25176537,3.5486562258215244e-22,6.552440039016909e-22
0,IRF5,9.425943,0.6692763,4.262559558892894e-21,7.778756549108044e-21
0,GZMB,8.795247,1.304805,1.4273372695935772e-18,2.5356862857552566e-18
0,IL11,8.6642,3.0664303,4.546938481946032e-18,8.047223200123354e-18
0,SLC26A6,8.469241,0.7725514,2.4699728601746898e-17,4.322452505305707e-17
0,MAFB,8.347712,0.2542393,6.959845544399428e-17,1.2134451897112756e-16
0,CLEC4A,8.168948,0.54322666,3.1108874981282147e-16,5.363993516993135e-16
0,MMP11,8.073293,1.1675619,6.8427286171965125e-16,1.1755456855183752e-15
