leiden_res1pt5_dist0_npc50,names,scores,logfoldchanges,pvals,pvals_adj
6,ZFP91,-7.9562445,-0.077397175,1.7733990392811483e-15,3.261663331070033e-15
6,CXCL9,-8.15817,-1.951126,3.40139314375335e-16,6.305349345534865e-16
6,PLD1,-8.202528,-0.47842932,2.3538408183224364e-16,4.3807593007667566e-16
6,CD1C,-8.241554,-2.4871976,1.6998743796745469e-16,3.176259299073157e-16
6,IL3RA,-8.248135,-2.1127539,1.608862840084542e-16,3.0182266879986006e-16
6,BECN1,-8.252545,-0.33804527,1.5505615976606155e-16,2.932312053640438e-16
6,PPARA,-8.663065,-0.8309158,4.5924733156708195e-18,8.720121396962002e-18
6,ESRRA,-8.762136,-1.3113666,1.9158435670364662e-18,3.6525635485370024e-18
6,TMEM50B,-8.987749,-0.3927013,2.523448552720537e-19,4.830601515207886e-19
6,STAT5A,-9.058694,-0.61559886,1.320213328233095e-19,2.5376231595955803e-19
6,STK11,-9.164426,-0.42130733,4.981138549326863e-20,9.653528841464045e-20
6,PLAGL2,-9.195937,-1.2154696,3.717403541159231e-20,7.234283239849293e-20
6,CD34,-9.206384,-0.57214147,3.3729739233359243e-20,6.591353208518952e-20
6,ATG7,-9.275806,-0.6125757,1.7628022202896843e-20,3.459222767011975e-20
6,SKAP2,-9.375961,-0.6050324,6.854801091531874e-21,1.3564986126280375e-20
6,ATF6B,-9.560249,-0.30525765,1.1747339538396212e-21,2.334534848943993e-21
6,RUNX3,-9.700009,-3.0385995,3.0146999882489604e-22,6.016571465909628e-22
6,AQP1,-9.705304,-0.48885408,2.8622136203118563e-22,5.736658922761798e-22
6,IL1R2,-9.726192,-2.9730604,2.3315654160232655e-22,4.693150987617646e-22
6,SNRPD1,-9.878184,-0.25732496,5.1762285178005265e-23,1.0464013684691581e-22
6,OAS3,-10.074756,-1.0196964,7.143827393808994e-24,1.463080806854331e-23
6,CXCL8,-10.239667,-3.8822927,1.316886313070816e-24,2.7088582492553188e-24
6,NUB1,-10.333553,-0.41157398,4.968515522087854e-25,1.0310768937430105e-24
6,CLEC4A,-10.405784,-1.5787688,2.3332751157208745e-25,4.863582352324845e-25
6,CYLD,-10.4062805,-0.81255126,2.3211348693169043e-25,4.8598761326322685e-25
6,BACH2,-10.445929,-1.7149364,1.5295171577220682e-25,3.216787206150897e-25
6,CCL5,-10.491505,-1.9125484,9.451111326575406e-26,1.9966536991729125e-25
6,RASGRP1,-10.659435,-2.758501,1.5755046057266445e-26,3.374025845140622e-26
6,TRAFD1,-10.678675,-0.55768716,1.2808653010993176e-26,2.7556230560347703e-26
6,PI4K2B,-10.753516,-1.0170416,5.7044478867718914e-27,1.23289680133457e-26
6,KLRB1,-10.844302,-2.3991055,2.1225020211925738e-27,4.608580777496838e-27
6,MMP9,-10.980933,-2.8611243,4.720206499938522e-28,1.0344751628369939e-27
6,PIM3,-10.995062,-1.3570889,4.0363661845471856e-28,8.887585636397324e-28
6,TYROBP,-11.051562,-2.036047,2.1543325215098963e-28,4.765952606547837e-28
6,APOBR,-11.060268,-3.5837417,1.9551066495873014e-28,4.345710988893101e-28
6,TUBA1B,-11.077003,0.5238899,1.6221228777646007e-28,3.6227410936742747e-28
6,PODXL,-11.34591,-1.7596282,7.771334368780422e-30,1.7439023057215396e-29
6,CD3D,-11.503485,-3.331865,1.2669489321257975e-30,2.8567261979182643e-30
6,S100B,-11.510706,-1.0069855,1.1652031785420779e-30,2.6528169453215267e-30
6,KLK1,-11.511708,-4.494632,1.1517439074387291e-30,2.6349653297012875e-30
6,GFI1,-11.613123,-3.2103605,3.5346576295121693e-31,8.126247197260821e-31
6,DAB2,-11.901521,-0.5838194,1.162099473289592e-32,2.725123264864093e-32
6,RSL1D1,-12.176231,-0.27345112,4.160655479473843e-34,9.80576592901122e-34
6,IL1B,-12.193448,-3.861217,3.3686250434662986e-34,7.979217905988354e-34
6,IRF5,-12.76791,-3.071496,2.4771623743406878e-37,5.957893095209141e-37
6,FOXP1,-12.843317,0.0253524,9.376957412463438e-38,2.266903621879048e-37
6,CSF2RA,-12.988054,-2.671324,1.430177103987644e-38,3.4935055300531517e-38
6,CA2,-13.190918,-3.3252819,9.89721605319317e-40,2.430258810967328e-39
6,MUC2,-13.271752,-3.4667892,3.3759223776358137e-40,8.333197869006299e-40
6,CHI3L1,-13.450704,-1.6790997,3.0495805559539955e-41,7.567477675885841e-41
6,TRIM31,-13.46092,-4.953587,2.6558794118592506e-41,6.625571511499939e-41
6,KAT2A,-13.4971695,-0.68512243,1.6250051467023812e-41,4.075547667397951e-41
6,PTPN1,-13.511825,-0.5166954,1.3317972201908593e-41,3.35813385091136e-41
6,MMP1,-13.860784,-2.7561312,1.0947330276486795e-43,2.7752961619850306e-43
6,MTHFD2,-13.941059,-1.1602523,3.566072449172732e-44,9.089608579684845e-44
6,HSP90AA1,-14.042828,0.2854819,8.524274265530676e-45,2.1846364101278073e-44
6,STAT4,-14.274874,-2.6546447,3.1385445496220586e-46,8.132471788799699e-46
6,CD79B,-14.299272,-3.9260604,2.2111171969406648e-46,5.761188696473176e-46
6,SBNO2,-14.430827,-1.2427156,3.3108752123222473e-47,8.674862986475608e-47
6,ADAM15,-14.450998,-1.0604519,2.4707730815700176e-47,6.510070647507518e-47
6,XIAP,-14.456897,-0.6474056,2.267938069554295e-47,6.009395223847255e-47
6,HHEX,-14.761654,-2.002853,2.588551551898956e-49,6.897901578639832e-49
6,MAST3,-14.988575,-1.4751219,8.720446894515186e-51,2.33707976773007e-50
6,PTPN2,-15.053428,-0.64790493,3.277985224072502e-51,8.835488908563238e-51
6,NR5A2,-15.072436,-3.3236673,2.4587711649629457e-51,6.665685990564286e-51
6,IFNGR2,-15.161977,-0.7227978,6.314001914550075e-52,1.721666801118596e-51
6,SNX17,-15.502666,-0.40062737,3.3278965126230424e-54,9.235405114912467e-54
6,CD14,-15.787468,-1.3624403,3.795119636437945e-56,1.065815035622393e-55
6,ASH1L,-16.07554,-0.1500376,3.7867314992752275e-58,1.0829128494878548e-57
6,ZFP36,-16.156569,-0.015595312,1.0208719832293072e-58,2.9373555836475158e-58
6,GSDMB,-16.224913,-2.1379154,3.3619384059550246e-59,9.733019212301893e-59
6,VARS,-16.226147,-0.9224552,3.2950457977282886e-59,9.598611671643276e-59
6,CXCL1,-16.286133,-3.1227217,1.238164404063467e-59,3.6293694094110376e-59
6,MRC1,-16.495289,-1.3316927,3.966538036518697e-61,1.1700039868724962e-60
6,CAT,-16.536829,-0.23418868,1.9923618185534498e-61,5.9140360310225825e-61
6,FAM3D,-16.982079,-4.7999916,1.1146623126880572e-64,3.372752417101283e-64
6,TGFB1,-17.017548,-0.72108054,6.086743305913145e-65,1.8536900068008212e-64
6,IDO1,-17.126892,-2.7266133,9.351788154964574e-66,2.866659244887833e-65
6,ICAM1,-17.183727,-1.4086003,3.515797670204295e-66,1.0848086232406674e-65
6,PTGER4,-17.2543,-1.4963132,1.0387422926572967e-66,3.247800901708481e-66
6,SNX20,-17.421019,-2.9680634,5.7150084535427574e-68,1.7988852112158074e-67
6,CD69,-17.455631,-3.8840818,3.1191525870807665e-68,9.951582063543397e-68
6,SNRPG,-18.369884,-0.6015596,2.288956279036891e-75,7.403589619781393e-75
6,MAN1A1,-18.547478,-0.527124,8.547082205989411e-77,2.783737190700718e-76
6,PTPN22,-18.901419,-3.0513675,1.1102841876874596e-79,3.667065380460694e-79
6,F3,-18.961367,-1.3060962,3.55782363218743e-80,1.1834179315573792e-79
6,TP53,-19.064983,-0.65215355,4.934359120502751e-81,1.6530103053684217e-80
6,KYNU,-19.109276,-3.0066302,2.113825287440787e-81,7.132259423091576e-81
6,CSF1R,-19.214632,-1.571598,2.7920807152085364e-82,9.489027937918868e-82
6,LCN2,-19.359137,-3.2052479,1.7072294852438917e-83,5.844457142915221e-83
